month,location,total_vaccinations_per_hundred
2020-12,Poland,0.12
2021-01,Poland,2.95
2021-01,Spain,3.38
2021-02,Poland,8.37
2021-02,Spain,8.05
2021-03,Poland,15.73
2021-03,Spain,16.9
2021-04,Poland,28.78
2021-04,Spain,34.41
2021-05,Poland,50.39
2021-05,Spain,57.02
2021-06,Poland,73.37
2021-06,Spain,88.37
2021-07,Poland,86.38
2021-07,Spain,118.14
2021-08,Poland,91.04
2021-08,Spain,139.05
2021-09,Poland,93.37
2021-09,Spain,147.51
2021-10,Poland,98.01
2021-10,Spain,151.51
2021-11,Poland,104.56
2021-11,Spain,161.23
2021-12,Poland,117.89
2021-12,Spain,175.64
2022-01,Poland,129.61
2022-01,Spain,189.81
2022-02,Poland,133.79
2022-02,Spain,194.78
2022-03,Poland,135.33
2022-03,Spain,197.66
2022-04,Poland,136.16
2022-04,Spain,198.5
2022-05,Poland,136.76
2022-05,Spain,199.2
2022-06,Poland,136.99
2022-06,Spain,200.08
2022-07,Poland,137.94
2022-07,Spain,200.79
2022-08,Poland,140.94
2022-08,Spain,201.18
2022-09,Poland,142.56
2022-09,Spain,201.4
2022-10,Poland,144.02
2022-10,Spain,208.06
2022-11,Poland,144.66
2022-11,Spain,215.68
2022-12,Poland,144.98
2022-12,Spain,219.07
2023-01,Poland,145.22
2023-01,Spain,220.98
2023-02,Poland,145.3
2023-02,Spain,221.88
2023-03,Poland,145.42
2023-03,Spain,222.32
2023-04,Poland,145.48
2023-04,Spain,222.46
2023-05,Poland,145.54
2023-05,Spain,222.55
2023-06,Poland,145.57
2023-07,Poland,145.58
2023-08,Poland,145.58
2023-09,Poland,145.59
2023-10,Poland,145.6
2023-11,Poland,145.6
